Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,DET,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20072008,N,29,0,3,3
Pontus Aberg,TOR,R,L,1993-09-23,Stockholm,--,SWE,SWE,72,194,2012,2,37,20162017,N,3,0,1,1
Vitaly Abramov,OTT,L,L,1998-05-08,Chelyabinsk,--,RUS,RUS,70,180,2016,3,65,20182019,N,2,1,0,1
Noel Acciari,FLA,R,C,1991-12-01,Johnston,RI,USA,USA,70,203,--,--,--,20152016,N,42,17,3,20
Andrew Agozzino,PIT,L,L,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,--,--,--,20142015,N,4,0,0,0
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,45,23,17,40
Michael Amadio,LAK,R,C,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,204,2014,3,90,20172018,N,45,6,9,15
Josh Anderson,CBJ,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,222,2012,4,95,20142015,N,26,1,3,4
Jaret Anderson-Dolan,LAK,L,C,1999-09-12,Calgary,AB,CAN,CAN,71,188,2017,2,41,20182019,N,1,0,0,0
Lias Andersson,NYR,L,C,1998-10-13,Smogen,--,SWE,SWE,73,190,2017,1,7,20172018,N,17,0,1,1
Rasmus Andersson,CGY,R,D,1996-10-27,Malmö,--,SWE,SWE,73,214,2015,2,53,20162017,N,47,3,10,13
Andy Andreoff,PHI,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,203,2011,3,80,20142015,N,13,0,1,1
Artem Anisimov,OTT,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,27,8,2,10
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,193,2015,6,168,20182019,N,21,1,1,2
Josh Archibald,EDM,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,38,4,3,7
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,76,213,2011,1,16,20142015,N,35,12,9,21
Viktor Arvidsson,NSH,R,R,1993-04-08,Skellefteå,--,SWE,SWE,69,180,2014,4,112,20142015,N,32,10,9,19
Rasmus Asplund,BUF,L,C,1997-12-03,Filipstad,--,SWE,SWE,71,190,2016,2,33,20192020,N,27,1,2,3
Zach Aston-Reese,PIT,L,C,1994-08-10,Staten Island,NY,USA,USA,72,204,--,--,--,20172018,N,45,5,6,11
Andreas Athanasiou,DET,L,L,1994-08-06,Woodbridge,ON,CAN,CAN,74,188,2012,4,110,20152016,N,36,5,14,19
Cam Atkinson,CBJ,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,35,9,12,21
Nicolas Aube-Kubel,PHI,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,71,187,2014,2,48,20182019,N,12,2,2,4
David Backes,BOS,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20062007,N,16,1,2,3
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,200,2007,1,24,20082009,N,47,6,15,21
Nicklas Backstrom,WSH,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,38,9,26,35
Sven Baertschi,VAN,L,L,1992-10-05,Bern,--,CHE,CHE,71,190,2011,1,13,20112012,N,6,0,2,2
Josh Bailey,NYI,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,43,8,16,24
Rudolfs Balcers,OTT,L,L,1997-04-08,Liepaja,--,LVA,LVA,71,180,2015,5,142,20182019,N,5,0,1,1
Ivan Barbashev,STL,L,C,1995-12-14,Moscow,--,RUS,RUS,72,187,2014,2,33,20162017,N,44,6,13,19
Riley Barber,MTL,R,R,1994-02-07,Pittsburgh,PA,USA,USA,72,203,2012,6,167,20162017,N,9,0,0,0
Mark Barberio,COL,L,D,1990-03-23,Montreal,QC,CAN,CAN,73,200,2008,6,152,20122013,N,14,0,2,2
Cole Bardreau,NYI,R,C,1993-07-22,Fairport,NY,USA,USA,70,185,--,--,--,20192020,N,9,1,1,2
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,210,2013,1,2,20132014,N,45,14,35,49
Tyson Barrie,TOR,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,46,4,20,24
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,72,187,2015,1,16,20162017,N,43,17,20,37
Drake Batherson,OTT,R,R,1998-04-27,Fort Wayne,IN,USA,USA,75,206,2017,4,121,20182019,N,6,1,1,2
Jay Beagle,VAN,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,37,1,3,4
Ethan Bear,EDM,R,D,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20172018,N,47,4,12,16
J.C. Beaudin,OTT,R,C,1997-03-25,Longueuil,QC,CAN,CAN,73,196,2015,3,71,20192020,N,22,0,1,1
Nathan Beaulieu,WPG,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,21,0,4,4
Anthony Beauvillier,NYI,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,182,2015,1,28,20162017,N,43,10,13,23
Pierre-Edouard Bellemare,COL,L,C,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,72,198,--,--,--,20142015,N,44,7,9,16
Emil Bemstrom,CBJ,R,C,1999-06-01,Nykoping,--,SWE,SWE,72,190,2017,4,117,20192020,N,32,4,6,10
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,210,2007,5,129,20092010,N,45,11,11,22
Jordie Benn,VAN,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,199,--,--,--,20112012,N,38,0,6,6
Sam Bennett,CGY,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,31,4,2,6
Matt Benning,EDM,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,24,0,5,5
Patrice Bergeron,BOS,R,C,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,195,2003,2,45,20032004,N,37,19,19,38
Lean Bergmann,SJS,L,C,1998-10-04,Hemer,--,DEU,DEU,74,205,--,--,--,20192020,N,8,0,1,1
Tyler Bertuzzi,DET,L,L,1995-02-24,Sudbury,ON,CAN,CAN,73,199,2013,2,58,20162017,N,46,16,18,34
Alex Biega,DET,R,D,1988-04-04,Montreal,QC,CAN,CAN,70,199,2006,5,147,20142015,N,24,0,1,1
Jake Bischoff,VGK,L,D,1994-07-25,Cambridge,MN,USA,USA,73,194,2012,7,185,20192020,N,4,0,0,0
Clark Bishop,CAR,L,C,1996-03-29,St. John's,NL,CAN,CAN,73,199,2014,5,127,20182019,N,5,0,1,1
Anthony Bitetto,WPG,L,D,1990-07-15,Island Park,NY,USA,USA,73,210,2010,6,168,20142015,N,36,0,4,4
Anders Bjork,BOS,L,L,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20172018,N,38,6,6,12
Oliver Bjorkstrand,CBJ,R,R,1995-04-10,Herning,--,DNK,DNK,72,177,2013,3,89,20152016,N,36,12,11,23
Tobias Bjornfot,LAK,L,D,2001-04-06,Upplands Vasby,--,SWE,SWE,72,202,2019,1,22,20192020,N,3,0,0,0
Nick Bjugstad,PIT,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,215,2010,1,19,20122013,N,10,1,0,1
Colin Blackwell,NSH,R,C,1993-03-28,Lawrence,MA,USA,USA,69,190,2011,7,194,20182019,N,12,1,3,4
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,205,2014,6,176,20172018,N,20,5,3,8
Joseph Blandisi,PIT,L,C,1994-07-18,Markham,ON,CAN,CAN,71,187,2012,6,162,20152016,N,21,2,3,5
Joachim Blichfeld,SJS,R,R,1998-07-17,Frederikshavn,--,DNK,DNK,74,180,2016,7,210,20192020,N,2,0,0,0
Teddy Blueger,PIT,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,45,6,10,16
Mikkel Boedker,OTT,L,L,1989-12-16,Brondby,--,DNK,DNK,71,207,2008,1,8,20082009,N,7,0,1,1
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,46,16,27,43
Zach Bogosian,BUF,R,D,1990-07-15,Massena,NY,USA,USA,75,226,2008,1,3,20082009,N,16,1,4,5
Nick Bonino,NSH,L,C,1988-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,20092010,N,44,14,11,25
Adam Boqvist,CHI,R,D,2000-08-15,Falun,--,SWE,SWE,71,179,2018,1,8,20192020,N,21,2,4,6
Jesper Boqvist,NJD,L,C,1998-10-30,Falun,--,SWE,SWE,72,180,2017,2,36,20192020,N,31,4,0,4
Henrik Borgstrom,FLA,L,C,1997-08-06,Helsinki,--,FIN,FIN,75,199,2016,1,23,20172018,N,4,0,0,0
Mark Borowiecki,OTT,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,43,5,11,16
Robert Bortuzzo,STL,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,27,1,2,3
Gabriel Bourque,WPG,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,131,20112012,N,31,2,3,5
Jay Bouwmeester,STL,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20022003,N,46,1,5,6
Madison Bowey,DET,R,D,1995-04-22,Winnipeg,MB,CAN,CAN,74,202,2013,2,53,20172018,N,35,3,11,14
Johnny Boychuk,NYI,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20072008,N,42,2,8,10
Travis Boyd,WSH,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,19,2,6,8
Brian Boyle,FLA,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20072008,N,34,5,8,13
Tyler Bozak,STL,R,C,1986-03-19,Regina,SK,CAN,CAN,73,199,--,--,--,20092010,N,45,10,13,23
Erik Brannstrom,OTT,L,D,1999-09-02,Eksjo,--,SWE,SWE,69,181,2017,1,15,20182019,N,31,0,4,4
Derick Brassard,NYI,L,C,1987-09-22,Hull,QC,CAN,CAN,73,202,2006,1,6,20072008,N,43,8,13,21
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,37,8,7,15
Justin Braun,PHI,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,42,2,8,10
TJ Brodie,CGY,L,D,1990-06-07,Chatham,ON,CAN,CAN,73,185,2008,4,114,20102011,N,41,1,13,14
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,73,194,2011,1,10,20122013,N,45,1,17,18
Jonny Brodzinski,SJS,R,C,1993-06-19,Ham Lake,MN,USA,USA,73,215,2013,5,148,20162017,N,3,0,1,1
Adam Brooks,TOR,L,C,1996-05-06,Winnipeg,MB,CAN,CAN,70,185,2016,4,92,20192020,N,6,0,3,3
Troy Brouwer,STL,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20062007,N,10,1,0,1
Connor Brown,OTT,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,186,2012,6,156,20152016,N,45,7,18,25
Dustin Brown,LAK,R,R,1984-11-04,Ithaca,NY,USA,USA,72,210,2003,1,13,20032004,N,43,8,11,19
Josh Brown,FLA,R,D,1994-01-21,London,ON,CAN,CAN,77,217,2013,6,152,20182019,N,40,3,2,5
Logan Brown,OTT,L,C,1998-03-05,Raleigh,NC,USA,USA,78,220,2016,1,11,20172018,N,23,1,7,8
Pavel Buchnevich,NYR,L,R,1995-04-17,Cherepovets,--,RUS,RUS,75,197,2013,3,75,20162017,N,44,7,18,25
Connor Bunnaman,PHI,L,C,1998-04-16,Guelph,ON,CAN,CAN,73,207,2016,4,109,20192020,N,4,0,0,0
Andre Burakovsky,COL,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,201,2013,1,23,20142015,N,42,13,15,28
Brent Burns,SJS,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,47,9,23,32
Will Butcher,NJD,L,D,1995-01-06,Sun Prairie,WI,USA,USA,70,190,2013,5,123,20172018,N,42,4,10,14
Paul Byron,MTL,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,158,2007,6,179,20102011,N,19,1,3,4
Nick Caamano,DAL,L,R,1998-09-07,Hamilton,ON,CAN,CAN,75,200,2016,5,146,20192020,N,12,1,1,2
Drake Caggiula,CHI,L,C,1994-06-20,Pickering,ON,CAN,CAN,70,176,--,--,--,20162017,N,17,3,1,4
Matt Calvert,COL,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20102011,N,38,11,12,23
Kyle Capobianco,ARI,L,D,1997-08-13,Mississauga,ON,CAN,CAN,73,196,2015,3,63,20172018,N,7,1,0,1
Paul Carey,BOS,L,C,1988-09-24,Boston,MA,USA,USA,73,200,2007,5,135,20132014,N,1,0,0,0
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,212,2015,2,37,20162017,N,46,4,9,13
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,217,2008,1,27,20092010,N,46,13,42,55
Gabriel Carlsson,CBJ,L,D,1997-01-02,Orebro,--,SWE,SWE,77,192,2015,1,29,20162017,N,6,0,0,0
Ryan Carpenter,CHI,R,C,1991-01-18,Oviedo,FL,USA,USA,72,200,--,--,--,20152016,N,45,2,9,11
Daniel Carr,NSH,L,L,1991-11-01,Sherwood Park,AB,CAN,CAN,72,193,--,--,--,20152016,N,11,1,0,1
Connor Carrick,NJD,R,D,1994-04-13,Orland Park,IL,USA,USA,71,192,2012,5,137,20132014,N,8,0,2,2
Sam Carrick,ANA,R,C,1992-02-04,Markham,ON,CAN,CAN,72,205,2010,5,144,20142015,N,9,1,1,2
Trevor Carrick,SJS,L,D,1994-07-04,Stouffville,ON,CAN,CAN,74,196,2012,4,115,20152016,N,3,0,0,0
Alexandre Carrier,NSH,R,D,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,N,2,0,0,0
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,218,2013,2,57,20162017,N,48,5,8,13
Jeff Carter,LAK,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,47,12,8,20
Colby Cave,EDM,L,C,1994-12-26,Battleford,SK,CAN,CAN,73,200,--,--,--,20172018,N,5,1,0,1
Cody Ceci,TOR,R,D,1993-12-21,Ottawa,ON,CAN,CAN,74,210,2012,1,15,20132014,N,46,1,6,7
Peter Cehlarik,BOS,L,L,1995-08-02,Zilina,--,SVK,SVK,74,202,2013,3,90,20162017,N,3,0,1,1
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,233,2015,2,43,20182019,N,42,3,5,8
Thomas Chabot,OTT,L,D,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015,1,18,20162017,N,45,4,21,25
Zdeno Chara,BOS,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,44,5,8,13
Ben Chiarot,MTL,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,225,2009,4,119,20132014,N,44,7,8,15
Alex Chiasson,EDM,R,R,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,41,6,9,15
Filip Chlapik,OTT,L,C,1997-06-03,Prague,--,CZE,CZE,74,194,2015,2,48,20172018,N,20,2,3,5
Dennis Cholowski,DET,L,D,1998-02-15,Langley,BC,CAN,CAN,74,197,2016,1,20,20182019,N,29,2,6,8
Jakob Chychrun,ARI,L,D,1998-03-31,Boca Raton,FL,USA,USA,74,210,2016,1,16,20162017,N,48,10,9,19
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,206,2017,1,21,20172018,N,35,11,5,16
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,72,193,2015,3,72,20172018,N,44,9,18,27
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,195,2009,4,92,20112012,N,38,9,4,13
Kale Clague,LAK,L,D,1998-06-05,Regina,SK,CAN,CAN,72,177,2016,2,51,20192020,N,4,0,0,0
Kyle Clifford,LAK,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,211,2009,2,35,20102011,N,46,5,7,12
Connor Clifton,BOS,R,D,1995-04-28,Long Branch,NJ,USA,USA,71,175,2013,5,133,20182019,N,30,2,0,2
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,216,2006,3,72,20072008,N,33,3,4,7
Braydon Coburn,TBL,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,223,2003,1,8,20052006,N,24,1,1,2
Andrew Cogliano,DAL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,175,2005,1,25,20072008,N,44,2,7,9
Ian Cole,COL,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,40,4,16,20
Blake Coleman,NJD,L,C,1991-11-28,Plano,TX,USA,USA,71,200,2011,3,75,20162017,N,45,15,8,23
Blake Comeau,DAL,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,31,6,4,10
J.T. Compher,COL,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,42,7,16,23
Max Comtois,ANA,L,L,1999-01-08,Longueuil,QC,CAN,CAN,74,215,2017,2,50,20182019,N,28,4,6,10
Cory Conacher,TBL,L,C,1989-12-14,Burlington,ON,CAN,CAN,68,185,--,--,--,20122013,N,4,0,1,1
Kevin Connauton,COL,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,1,0,0,0
Brett Connolly,FLA,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,192,2010,1,6,20112012,N,45,16,13,29
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,182,2015,1,17,20162017,N,46,22,22,44
Andrew Copp,WPG,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,206,2013,4,104,20142015,N,38,7,9,16
Nick Cousins,MTL,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,183,2011,3,68,20142015,N,40,5,8,13
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,200,2007,1,9,20092010,N,45,14,22,36
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,75,211,2011,1,8,20112012,N,45,12,24,36
Charlie Coyle,BOS,R,C,1992-03-02,E. Weymouth,MA,USA,USA,75,220,2010,1,28,20122013,N,46,8,15,23
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,17,5,12,17
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,220,2015,1,11,20162017,N,44,10,5,15
Austin Czarnik,CGY,R,C,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20162017,N,8,2,1,3
Kirby Dach,CHI,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,197,2019,1,3,20192020,N,40,6,5,11
Evgenii Dadonov,FLA,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,71,185,2007,3,71,20092010,N,45,19,17,36
Rasmus Dahlin,BUF,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,193,2018,1,1,20182019,N,38,2,24,26
Carl Dahlstrom,WPG,L,D,1995-01-28,Stockholm,--,SWE,SWE,76,231,2013,2,51,20172018,N,14,0,0,0
Michael Dal Colle,NYI,L,L,1996-06-20,Woodbridge,ON,CAN,CAN,75,204,2014,1,5,20172018,N,32,2,4,6
Trevor Daley,DET,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,22,0,1,1
Phillip Danault,MTL,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,201,2011,1,26,20142015,N,46,11,20,31
Marko Dano,CBJ,L,L,1994-11-30,Eisenstadt,--,AUT,SVK,71,201,2013,1,27,20142015,N,3,0,0,0
Brandon Davidson,CGY,L,D,1991-08-21,Taber,AB,CAN,CAN,74,208,2010,6,162,20142015,N,3,0,0,0
Jonathan Davidsson,OTT,R,R,1997-03-12,Tyreso,--,SWE,SWE,71,185,2017,6,170,20192020,N,6,0,1,1
Calvin de Haan,CHI,L,D,1991-05-09,Carp,ON,CAN,CAN,73,195,2009,1,12,20112012,N,29,1,5,6
Jacob de la Rose,STL,L,L,1995-05-20,Arvika,--,SWE,SWE,75,215,2013,2,34,20142015,N,41,2,7,9
Jean-Sebastien Dea,BUF,R,C,1994-02-08,Laval,QC,CAN,CAN,71,168,--,--,--,20162017,N,1,0,0,0
Tony DeAngelo,NYR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,44,11,25,36
